Elevation,Slope,Aspect_deg,Distance_to_fault_km,Rainfall_mm,Snow_mm,Temperature_C,Wind_speed_kmh,Rock_Type,Soil_Type,Lithology,Fracture_Density,Vegetation,Land_Cover,Rock_size,Rock_volume,Energy_released,Rockfall_Event
287.27005942368123,27.405317153544786,94.21404614492614,3.3962446716236006,8.486224532681884,1.5008220660750249,7.67715240456247,18.137048829304582,Shale,Loam,Metamorphic,2.7905356111933854,Sparse,Forest,1.1123634543097976,2.8540896300413343,238.27752115249456,0
575.3571532049581,41.67603789513433,88.91236766591993,4.003738846237725,16.36975255097398,1.9241452513756334,18.313851909987264,10.857322884424699,Sandstone,Sand,Igneous,15.535365427001457,Sparse,Bare,1.8078401201174545,2.3496935579912854,1886.1829210993487,1
465.99697090570254,54.91783343505633,326.2516489875732,1.3272927040832452,14.277871213455,5.78371491571934,17.0366315503764,8.555504537476383,Shale,Loam,Metamorphic,12.5169333210122,Sparse,Forest,1.0187281220347517,0.8325294229527181,588.9045465864746,1
399.3292420985183,49.28899545638245,89.83663194582219,3.161883088074295,1.67117610409889,1.2465662685871162,21.704877417757874,10.313247090671481,Shale,Sand,Metamorphic,8.182875758352445,Moderate,Bare,1.3263638788932925,0.2437824722977448,1846.771670385868,0
178.00932022121827,52.26244591445799,97.90190140630716,2.9015553174043687,1.616363423177122,6.112589161781466,9.463827458138041,15.476080558540655,Shale,Sand,Metamorphic,5.080422981911255,Dense,Bare,2.3410551546418854,0.4786847727036592,658.4125246132494,0
177.99726016810132,46.35133466842869,273.38337447046695,4.180868846262529,3.122130006984853,0.2767881064779848,15.238056673597027,20.472161271259495,Granite,Clay,Metamorphic,17.19457567004465,Sparse,Forest,0.8830111786686055,2.122530798606115,1565.8619804342457,1
129.04180608409973,47.6910625807141,161.9063432821944,4.539826596358177,4.47967774073656,4.49904014023814,5.444847432013553,8.23113756498493,Granite,Loam,Igneous,14.003765185881061,Sparse,Bare,2.5487688443451058,3.0457136938605673,499.91284134789345,1
533.0880728874677,53.96782606261277,279.6158005038652,0.15956818023919536,5.25018503553894,5.64270923887604,19.910463473473,12.593602722173301,Granite,Clay,Sedimentary,10.954798189382737,Dense,Bare,1.25247199026199,1.3718962841417797,1342.8401157553064,1
400.5575058716044,29.98672035436744,23.531816723178686,3.4026976033880842,11.384885331551512,0.6020101467906559,18.632098263080856,14.030144651615757,Shale,Loam,Sedimentary,12.191370677969282,Moderate,Grassland,1.6900758903973065,1.5475394472856256,654.1952655073067,0
454.03628889802275,39.576998545725615,175.52562972241836,0.35399541568667225,0.5835016952137922,1.6881811636835513,18.470635147192997,6.044531959627062,Granite,Sand,Metamorphic,1.8213236416436196,Moderate,Bare,2.837489365176045,3.7398783394321438,1023.2266671272209,0
110.29224714790122,28.84837767278409,12.100896065981747,2.7894074588790443,0.3528806854202966,0.5427667975641189,15.011333219498589,12.122503003277508,Granite,Sand,Igneous,9.478395218223838,Sparse,Grassland,2.1075157645232494,0.8914016819286753,1350.8901500697245,0
584.9549260809972,59.50672031986588,22.555153243927627,1.5094003723140235,4.9743330741297385,3.6786974588716235,17.903410235521537,3.205956855947429,Granite,Loam,Igneous,3.87400585571404,Moderate,Grassland,2.0076915159649564,0.45981022707263897,1181.8761853538915,0
516.2213204002109,57.76237358746453,326.31748320398793,1.603205337658492,11.945628575330812,2.2993981245221873,26.230373758160173,1.385698177563608,Shale,Clay,Igneous,4.1676735801765075,Dense,Grassland,2.1925016372940815,1.406469949510071,1156.7983806345517,0
206.16955533913807,21.577072454740236,50.12833360233426,1.8294966669165473,2.149712147065439,3.02623259825137,13.004340200705903,14.200478447353543,Shale,Loam,Igneous,13.226079245737335,Moderate,Grassland,2.770711748529572,2.996392371994481,140.7048629586584,0
190.9124836035503,48.22300690062754,191.67144561907816,3.14433300034309,10.258391190380262,0.6562856207861183,15.970516285970591,9.696751552015304,Shale,Loam,Igneous,18.225123036685762,Dense,Forest,0.8958383858202303,2.5230052996717207,505.6628960214677,1
